decision_id,period,damage_id,u,v,progress,allowed_vehicle_count,allowed_vehicle_types,threshold_sensitive_edge
random_1,7,2,11,12,1.0,4,1|2|3|4,False
random_1,7,3,11,18,1.0,4,1|2|3|4,False
random_1,7,4,13,14,1.0,4,1|2|3|4,False
random_1,7,5,17,19,0.1388888888888889,0,,False
random_1,7,6,17,22,1.0,4,1|2|3|4,False
random_1,7,7,18,25,0.0,0,,False
random_1,7,8,22,24,1.0,4,1|2|3|4,False
random_1,7,9,24,30,1.0,4,1|2|3|4,False
random_1,7,10,26,28,1.0,4,1|2|3|4,False
random_1,7,11,26,34,1.0,4,1|2|3|4,False
random_1,7,12,28,29,1.0,4,1|2|3|4,False
random_1,7,13,33,34,1.0,4,1|2|3|4,False
random_1,7,14,34,35,1.0,4,1|2|3|4,False
random_1,7,15,36,37,1.0,4,1|2|3|4,False
random_1,8,0,1,17,1.0,4,1|2|3|4,False
random_1,8,1,4,5,1.0,4,1|2|3|4,False
random_1,8,2,11,12,1.0,4,1|2|3|4,False
random_1,8,3,11,18,1.0,4,1|2|3|4,False
random_1,8,4,13,14,1.0,4,1|2|3|4,False
random_1,8,5,17,19,0.5833333333333334,2,1|2,True
random_1,8,6,17,22,1.0,4,1|2|3|4,False
random_1,8,7,18,25,0.0,0,,False
random_1,8,8,22,24,1.0,4,1|2|3|4,False
random_1,8,9,24,30,1.0,4,1|2|3|4,False
random_1,8,10,26,28,1.0,4,1|2|3|4,False
random_1,8,11,26,34,1.0,4,1|2|3|4,False
random_1,8,12,28,29,1.0,4,1|2|3|4,False
random_1,8,13,33,34,1.0,4,1|2|3|4,False
random_1,8,14,34,35,1.0,4,1|2|3|4,False
random_1,8,15,36,37,1.0,4,1|2|3|4,False
random_1,9,0,1,17,1.0,4,1|2|3|4,False
random_1,9,1,4,5,1.0,4,1|2|3|4,False
random_1,9,2,11,12,1.0,4,1|2|3|4,False
random_1,9,3,11,18,1.0,4,1|2|3|4,False
random_1,9,4,13,14,1.0,4,1|2|3|4,False
random_1,9,5,17,19,1.0,4,1|2|3|4,False
random_1,9,6,17,22,1.0,4,1|2|3|4,False
random_1,9,7,18,25,0.1111111111111111,0,,False
random_1,9,8,22,24,1.0,4,1|2|3|4,False
random_1,9,9,24,30,1.0,4,1|2|3|4,False
random_1,9,10,26,28,1.0,4,1|2|3|4,False
random_1,9,11,26,34,1.0,4,1|2|3|4,False
random_1,9,12,28,29,1.0,4,1|2|3|4,False
random_1,9,13,33,34,1.0,4,1|2|3|4,False
random_1,9,14,34,35,1.0,4,1|2|3|4,False
random_1,9,15,36,37,1.0,4,1|2|3|4,False
random_2,1,0,1,17,0.0,0,,False
random_2,1,1,4,5,0.0,0,,False
random_2,1,2,11,12,0.0,0,,False
random_2,1,3,11,18,0.0,0,,False
random_2,1,4,13,14,0.0,0,,False
random_2,1,5,17,19,0.0,0,,False
random_2,1,6,17,22,0.0,0,,False
random_2,1,7,18,25,0.0,0,,False
random_2,1,8,22,24,0.0,0,,False
random_2,1,9,24,30,0.0,0,,False
random_2,1,10,26,28,0.0,0,,False
random_2,1,11,26,34,0.0,0,,False
random_2,1,12,28,29,0.0,0,,False
random_2,1,13,33,34,0.0,0,,False
random_2,1,14,34,35,0.0,0,,False
random_2,1,15,36,37,0.0,0,,False
random_2,2,0,1,17,0.0,0,,False
random_2,2,1,4,5,0.0,0,,False
random_2,2,2,11,12,0.0,0,,False
random_2,2,3,11,18,0.0,0,,False
random_2,2,4,13,14,0.0,0,,False
random_2,2,5,17,19,0.0,0,,False
random_2,2,6,17,22,0.0,0,,False
random_2,2,7,18,25,1.0,4,1|2|3|4,False
random_2,2,8,22,24,0.5925925925925926,2,1|2,True
random_2,2,9,24,30,0.0,0,,False
random_2,2,10,26,28,0.6666666666666666,2,1|2,True
random_2,2,11,26,34,0.0,0,,False
random_2,2,12,28,29,0.0,0,,False
random_2,2,13,33,34,0.0,0,,False
random_2,2,14,34,35,0.0,0,,False
random_2,2,15,36,37,0.6363636363636364,2,1|2,True
random_2,3,0,1,17,0.0,0,,False
random_2,3,1,4,5,1.0,4,1|2|3|4,False
random_2,3,2,11,12,0.0,0,,False
random_2,3,3,11,18,0.0,0,,False
random_2,3,4,13,14,0.5,2,1|2,True
random_2,3,5,17,19,0.0,0,,False
random_2,3,6,17,22,0.0,0,,False
random_2,3,7,18,25,1.0,4,1|2|3|4,False
random_2,3,8,22,24,1.0,4,1|2|3|4,False
random_2,3,9,24,30,0.0,0,,False
random_2,3,10,26,28,1.0,4,1|2|3|4,False
random_2,3,11,26,34,0.0,0,,False
random_2,3,12,28,29,0.16666666666666666,0,,False
random_2,3,13,33,34,0.8333333333333334,4,1|2|3|4,False
random_2,3,14,34,35,0.0,0,,False
random_2,3,15,36,37,1.0,4,1|2|3|4,False
random_2,4,0,1,17,0.0,0,,False
random_2,4,1,4,5,1.0,4,1|2|3|4,False
random_2,4,2,11,12,0.0,0,,False
random_2,4,3,11,18,0.0,0,,False
random_2,4,4,13,14,1.0,4,1|2|3|4,False
random_2,4,5,17,19,0.0,0,,False
random_2,4,6,17,22,0.0,0,,False
random_2,4,7,18,25,1.0,4,1|2|3|4,False
random_2,4,8,22,24,1.0,4,1|2|3|4,False
random_2,4,9,24,30,0.4444444444444444,1,1,True
random_2,4,10,26,28,1.0,4,1|2|3|4,False
random_2,4,11,26,34,0.42857142857142855,1,1,True
random_2,4,12,28,29,1.0,4,1|2|3|4,False
random_2,4,13,33,34,1.0,4,1|2|3|4,False
random_2,4,14,34,35,0.4,1,1,True
random_2,4,15,36,37,1.0,4,1|2|3|4,False
random_2,5,0,1,17,0.0,0,,False
random_2,5,1,4,5,1.0,4,1|2|3|4,False
random_2,5,2,11,12,0.7777777777777778,3,1|2|3,True
random_2,5,3,11,18,0.0,0,,False
random_2,5,4,13,14,1.0,4,1|2|3|4,False
random_2,5,5,17,19,0.3055555555555556,1,1,True
random_2,5,6,17,22,0.0,0,,False
random_2,5,7,18,25,1.0,4,1|2|3|4,False
random_2,5,8,22,24,1.0,4,1|2|3|4,False
random_2,5,9,24,30,1.0,4,1|2|3|4,False
random_2,5,10,26,28,1.0,4,1|2|3|4,False
random_2,5,11,26,34,0.8857142857142857,4,1|2|3|4,False
random_2,5,12,28,29,1.0,4,1|2|3|4,False
random_2,5,13,33,34,1.0,4,1|2|3|4,False
random_2,5,14,34,35,1.0,4,1|2|3|4,False
random_2,5,15,36,37,1.0,4,1|2|3|4,False
random_2,6,0,1,17,0.0,0,,False
random_2,6,1,4,5,1.0,4,1|2|3|4,False
random_2,6,2,11,12,1.0,4,1|2|3|4,False
random_2,6,3,11,18,1.0,4,1|2|3|4,False
random_2,6,4,13,14,1.0,4,1|2|3|4,False
random_2,6,5,17,19,0.75,3,1|2|3,True
random_2,6,6,17,22,1.0,4,1|2|3|4,False
random_2,6,7,18,25,1.0,4,1|2|3|4,False
random_2,6,8,22,24,1.0,4,1|2|3|4,False
random_2,6,9,24,30,1.0,4,1|2|3|4,False
random_2,6,10,26,28,1.0,4,1|2|3|4,False
random_2,6,11,26,34,1.0,4,1|2|3|4,False
random_2,6,12,28,29,1.0,4,1|2|3|4,False
random_2,6,13,33,34,1.0,4,1|2|3|4,False
random_2,6,14,34,35,1.0,4,1|2|3|4,False
random_2,6,15,36,37,1.0,4,1|2|3|4,False
random_2,7,0,1,17,0.23333333333333334,0,,False
random_2,7,1,4,5,1.0,4,1|2|3|4,False
random_2,7,2,11,12,1.0,4,1|2|3|4,False
random_2,7,3,11,18,1.0,4,1|2|3|4,False
random_2,7,4,13,14,1.0,4,1|2|3|4,False
random_2,7,5,17,19,1.0,4,1|2|3|4,False
random_2,7,6,17,22,1.0,4,1|2|3|4,False
random_2,7,7,18,25,1.0,4,1|2|3|4,False
